a, 01,		01000010, 61h
b, 1000,	10000100, 62h
c, 1010,	10100100, 63h
d, 100,		10000011, 64h
e, 0,		00000001, 65h
f, 0010,	00100100, 66h
g, 110,		11000011, 67h
h, 0000,	00000100, 68h
i, 00,		00000010, 69h
j, 0111,	01110100, 6ah
k, 101,		10100011, 6bh
l, 0100,	01000100, 6ch
m, 11,		11000010, 6dh
n, 10,		10000010, 6eh
o, 111,		11100110, 6fh
p, 0110,	01100100, 70h
q, 1101,	11010100, 71h
r, 010,		01000011, 72h
s, 000,		00000011, 73h
t, 1,		10000001, 74h
u, 001,		00100011, 75h
v, 0001,	00010100, 76h
w, 011,		01100011, 77h
x, 1001,	10010100, 78h
y, 1011,	10110100, 79h
z, 1100,	11000100, 7ah

1, 01111,	01111101, 31
2, 00111,	00111101, 32
3, 00011,	00011101, 33
4, 00001,	00001101, 34
5, 00000,	00000101, 35
6, 10000,	10000101, 36
7, 11000,	11000101, 37
8, 11100,	11100101, 38
9, 11110,	11110101, 39
0, 11111,	11111101, 30
